"STATION","NAME","DATE","PRCP","SNOW","SNWD","WESD","WESF"
"US1INMG0030","MARTINSVILLE 11.5 WNW, IN US","2021-07-21","0.00","0.0",,,
"US1INMG0030","MARTINSVILLE 11.5 WNW, IN US","2021-07-22","0.00","0.0",,,
"US1INMG0030","MARTINSVILLE 11.5 WNW, IN US","2021-07-23","0.00","0.0",,,
"US1INMG0030","MARTINSVILLE 11.5 WNW, IN US","2021-07-24","0.00","0.0",,,
"US1INMG0030","MARTINSVILLE 11.5 WNW, IN US","2021-07-25","0.20",,,,
"US1INMG0021","MARTINSVILLE 2.3 SE, IN US","2021-07-21","0.00","0.0","0.0","0.0","0.0"
"US1INMG0021","MARTINSVILLE 2.3 SE, IN US","2021-07-22","0.00","0.0","0.0","0.0","0.0"
"US1INMG0021","MARTINSVILLE 2.3 SE, IN US","2021-07-23","0.00","0.0","0.0","0.0","0.0"
"US1INMG0021","MARTINSVILLE 2.3 SE, IN US","2021-07-24","0.00","0.0","0.0","0.0","0.0"
"US1INMG0021","MARTINSVILLE 2.3 SE, IN US","2021-07-25","0.02","0.0","0.0","0.0","0.0"
"US1INMG0024","N9JPX PARAGON 3.2 ENE, IN US","2021-07-21","0.00","0.0",,,
"US1INMG0024","N9JPX PARAGON 3.2 ENE, IN US","2021-07-22","0.00","0.0",,,
"US1INMG0024","N9JPX PARAGON 3.2 ENE, IN US","2021-07-23","0.00","0.0",,,
"US1INMG0024","N9JPX PARAGON 3.2 ENE, IN US","2021-07-24","0.00","0.0",,,
"US1INMG0024","N9JPX PARAGON 3.2 ENE, IN US","2021-07-25","0.00",,,,
